Date,Open,High,Low,Close,Return,Volume,Company
2021-01-29,135.830002,136.740005,130.210007,131.960007,-0.028491459,177523800,Apple
2021-02-01,133.75,135.380005,130.929993,134.139999,0.00291588,106239800,Apple
2021-02-02,135.729996,136.309998,134.610001,134.990005,-0.005451934,83305400,Apple
2021-02-03,135.759995,135.770004,133.610001,133.940002,-0.01340596,89880900,Apple
2021-02-04,136.300003,137.399994,134.589996,137.389999,0.007997036,84183100,Apple
2021-02-05,137.350006,137.419998,135.860001,136.759995,-0.004295675,75693800,Apple
2021-02-08,136.029999,136.960007,134.919998,136.910004,0.006469198,71297200,Apple
2021-02-09,136.619995,137.880005,135.850006,136.009995,-0.004464939,76774200,Apple
2021-02-10,136.479996,136.990005,134.399994,135.389999,-0.007986496,73046600,Apple
2021-02-11,135.899994,136.389999,133.770004,135.130005,-0.00566585,64280000,Apple
2021-02-12,134.350006,135.529999,133.690002,135.369995,0.007592028,60145100,Apple
2021-02-16,135.490005,136.009995,132.789993,133.190002,-0.016975444,80576300,Apple
2021-02-17,131.25,132.220001,129.470001,130.839996,-0.00312384,97918500,Apple
2021-02-18,129.199997,130,127.410004,129.710007,0.003947446,96856700,Apple
2021-02-19,130.240005,130.710007,128.800003,129.869995,-0.002840986,87668800,Apple
2021-02-22,128.009995,129.720001,125.599998,126,-0.01570186,103916400,Apple
2021-02-23,123.760002,126.709999,118.389999,125.860001,0.016968317,158273000,Apple
2021-02-24,124.940002,125.559998,122.230003,125.349998,0.003281543,111039900,Apple
2021-02-25,124.68,126.459999,120.540001,120.989998,-0.029595781,148199500,Apple
2021-02-26,122.589996,124.849998,121.199997,121.260002,-0.010849123,164560400,Apple
2021-03-01,123.75,127.93,122.790001,127.790001,0.032646473,116307900,Apple
2021-03-02,128.410004,128.720001,125.010002,125.120003,-0.025621065,102260900,Apple
2021-03-03,124.809998,125.709999,121.839996,122.059998,-0.022033491,112966300,Apple
2021-03-04,121.75,123.599998,118.620003,120.129997,-0.013305979,178155000,Apple
2021-03-05,120.980003,121.940002,117.57,121.419998,0.003636923,153766600,Apple
2021-03-08,120.93,121,116.209999,116.360001,-0.037790449,154376600,Apple
2021-03-09,119.029999,122.059998,118.790001,121.089996,0.017306536,129525800,Apple
2021-03-10,121.690002,122.169998,119.449997,119.980003,-0.014052091,111943300,Apple
2021-03-11,122.540001,123.209999,121.260002,121.959999,-0.004733165,103026500,Apple
2021-03-12,120.400002,121.169998,119.160004,121.029999,0.005232533,88105100,Apple
2021-03-15,121.410004,124,120.419998,123.989998,0.021250259,92403800,Apple
2021-03-16,125.699997,127.220001,124.720001,125.57,-0.001034185,115227900,Apple
2021-03-17,124.050003,125.860001,122.339996,124.760002,0.00572349,111932600,Apple
2021-03-18,122.879997,123.18,120.32,120.529999,-0.019124333,121229700,Apple
2021-03-19,119.900002,121.43,119.68,119.989998,0.000750592,185549500,Apple
2021-03-22,120.330002,123.870003,120.260002,123.389999,0.025430042,111912300,Apple
2021-03-23,123.330002,124.239998,122.139999,122.540001,-0.006405587,95467100,Apple
2021-03-24,122.82,122.900002,120.07,120.089996,-0.022227683,88530500,Apple
2021-03-25,119.540001,121.660004,119,120.589996,0.008783629,98844700,Apple
2021-03-26,120.349998,121.480003,118.919998,121.209999,0.007145833,94071200,Apple
2021-03-29,121.650002,122.580002,120.730003,121.389999,-0.002137304,80819200,Apple
2021-03-30,120.110001,120.400002,118.860001,119.900002,-0.001748389,85671900,Apple
2021-03-31,121.650002,123.519997,121.150002,122.150002,0.004110152,118323800,Apple
2021-04-01,123.660004,124.18,122.489998,123,-0.005337247,75089100,Apple
2021-04-05,123.870003,126.160004,123.07,125.900002,0.01638814,88651200,Apple
2021-04-06,126.5,127.129997,125.650002,126.209999,-0.002292498,80171300,Apple
2021-04-07,125.830002,127.919998,125.139999,127.900002,0.016450767,83466700,Apple
2021-04-08,128.949997,130.389999,128.520004,130.360001,0.010934502,88844600,Apple
2021-04-09,129.800003,133.039993,129.470001,133,0.024653289,106686700,Apple
2021-04-12,132.520004,132.850006,130.630005,131.240005,-0.009658912,91420000,Apple
2021-04-13,132.440002,134.660004,131.929993,134.429993,0.015025604,91266500,Apple
2021-04-14,134.940002,135,131.660004,132.029999,-0.021565162,87222800,Apple
2021-04-15,133.820007,135,133.639999,134.5,0.0050814,89347100,Apple
2021-04-16,134.300003,134.669998,133.279999,134.160004,-0.001042435,84922400,Apple
2021-04-19,133.509995,135.470001,133.339996,134.839996,0.009961808,94264200,Apple
2021-04-20,135.020004,135.529999,131.809998,133.110001,-0.014146074,94812300,Apple
2021-04-21,132.360001,133.75,131.300003,133.5,0.008612866,68847100,Apple
2021-04-22,133.039993,134.149994,131.410004,131.940002,-0.008268123,84566500,Apple
2021-04-23,132.160004,135.119995,132.160004,134.320007,0.016343848,78657500,Apple
2021-04-26,134.830002,135.059998,133.559998,134.720001,-0.00081585,66905100,Apple
2021-04-27,135.009995,135.410004,134.110001,134.389999,-0.004592223,66015800,Apple
2021-04-28,134.309998,135.020004,133.080002,133.580002,-0.005435158,107760100,Apple
2021-04-29,136.470001,137.070007,132.449997,133.479996,-0.021909614,151101000,Apple
2021-04-30,131.779999,133.559998,131.070007,131.460007,-0.002428229,109839500,Apple
2021-05-03,132.039993,134.070007,131.830002,132.539993,0.003786731,75135100,Apple
2021-05-04,131.190002,131.490005,126.699997,127.849998,-0.025459288,137564700,Apple
2021-05-05,129.199997,130.449997,127.970001,128.100006,-0.008513862,84000900,Apple
2021-05-06,127.889999,129.75,127.129997,129.740005,0.014465603,78128300,Apple
2021-05-07,130.850006,131.259995,129.479996,130.210007,-0.004891089,78973300,Apple
2021-05-10,129.410004,129.539993,126.809998,126.849998,-0.019782134,88071200,Apple
2021-05-11,123.5,126.269997,122.769997,125.910004,0.019514202,126142800,Apple
2021-05-12,123.400002,124.639999,122.25,122.769997,-0.005105389,112172300,Apple
2021-05-13,124.580002,126.150002,124.260002,124.970001,0.00313051,105861300,Apple
2021-05-14,126.25,127.889999,125.849998,127.449997,0.009504927,81918000,Apple
2021-05-17,126.82,126.93,125.169998,126.269997,-0.004336879,74244600,Apple
2021-05-18,126.559998,126.989998,124.779999,124.849998,-0.013511378,63342900,Apple
2021-05-19,123.160004,124.919998,122.860001,124.690002,0.012422848,92612000,Apple
2021-05-20,125.230003,127.720001,125.099998,127.309998,0.016609398,76857100,Apple
2021-05-21,127.82,128,125.209999,125.43,-0.018698169,79295400,Apple
2021-05-24,126.010002,127.940002,125.940002,127.099998,0.008650075,63092900,Apple
2021-05-25,127.82,128.320007,126.32,126.900002,-0.007197606,72009500,Apple
2021-05-26,126.959999,127.389999,126.419998,126.849998,-0.000866423,56575900,Apple
2021-05-27,126.440002,127.639999,125.080002,125.279999,-0.009174336,94625600,Apple
2021-05-28,125.57,125.800003,124.550003,124.610001,-0.00764513,71311100,Apple
2021-06-01,125.080002,125.349998,123.940002,124.279999,-0.006395931,67637100,Apple
2021-06-02,124.279999,125.239998,124.050003,125.059998,0.006276143,59278900,Apple
2021-06-03,124.68,124.849998,123.129997,123.540001,-0.009143399,76229200,Apple
2021-06-04,124.07,126.160004,123.849998,125.889999,0.01466913,75169300,Apple
2021-06-07,126.169998,126.32,124.830002,125.900002,-0.002139938,71057600,Apple
